rest 1	motor 1	emotion 1	rest 2	motor 2	emotion 2
81.6513432784014	87.5436228180101	89.64951285009658	85.7972627868773	90.6549960820946	85.6639431571299
76.2741470131283	80.7933906877158	84.0967965752544	65.80273045734421	93.5914694729127	85.2007178059482
70.3275744920963	80.14202343725741	83.7622022449398	77.29431253052871	81.8465764762783	77.5534527866893
83.3720109977656	71.0434467307278	92.99003244332701	72.20574195014409	61.0762098778381	72.170091525795
96.46116577863941	95.21095817602591	97.7050448402256	98.80251643750549	96.4976495685925	99.1149322524943
94.09606002272801	98.69466973752719	107.097509920348	97.35529642248991	109.66838283175	105.973081055294
76.4027492936659	85.0014423083986	88.89591856344771	72.8015349291448	81.791545228473	73.1295044342848
45.83553994226979	46.127271936768395	38.254080959846895	47.630618657896605	64.3356456591028	39.3368074275174
93.26514646931471	84.4229884599921	89.3479110263954	83.7019741741261	70.49348918347499	67.0853532403826
70.6304329137053	81.9698749104107	73.1443888980746	69.7710092774545	80.0438772567702	87.43439059717021
88.64519100063542	82.8642334298778	92.47461929017321	77.3611053862584	90.0342205568318	84.51374682837059
92.9402815402593	94.86649414340201	105.189700466324	91.2235615414958	101.780489128164	101.817182649477
85.75044277553	92.5801509899421	83.56361263762791	79.3231005488909	72.059058113881	80.41285193057409
83.5632011789378	80.8891270196641	81.313925732765	88.9277811950313	84.84943215489442	75.293364673655
89.2869187188554	92.3490333909318	99.8720187025069	91.5362078450487	88.8542358464963	97.3431597666127
84.5725572882697	84.4335086994156	84.67812028289991	89.3448359813126	87.38865740700399	87.50223158422251
91.0203592675195	83.7622752402917	95.9019481129355	73.7835655654748	88.09119647003571	80.98887814882829
60.2542618128734	57.8868742367295	73.2388658171456	52.5741700811335	64.5783309444206	42.5930640886708
93.7761203581575	92.01817145747879	89.84857975131241	95.3404015860508	97.3849713577662	91.43381164946501
93.1601562928803	89.74062853232651	95.3482509431223	80.1144510708063	90.4703808184275	92.7601092552489
77.5208513114055	79.5876350807592	82.8745439241107	77.41880206396971	80.856530439043	69.6013079978222
91.081280976742	81.7378282650322	94.4672409994307	80.42360728500451	86.14194123975192	80.92084873645241
94.66308654350321	78.2745361568774	90.2003970402844	85.0339428528057	91.3961004881688	94.79873144550041
72.9109225044078	72.4222411176775	82.41256674899121	70.00614679957751	84.7092144052773	82.5447775149309
82.34060576288309	75.41034854022179	72.4773787794513	72.7817511861996	74.02403599331909	77.97525507983408
94.92467612048469	92.3044899438608	99.5412752744722	92.2938993815021	95.8550446968827	93.4861391983875
79.76495244789491	67.9390231592728	76.6217174055808	80.040940650203	81.1570703791023	63.3690164648325
91.6935699719588	93.840210189626	96.92275778846322	89.3711776697327	87.2528088888121	84.64540586805109
