anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE
246	15	66	19	77	20	77	20	82
258	22	61	30	60	31	59	32	63
254	50	100	67	118	67	117	68	119
256	46	110	44	96	47	97	48	98
276	1	5	1	5	1	6	1	6
147	79	98	90	106	91	108	92	108
189	30	120	34	128	38	127	40	132
271	60	125	57	112	59	112	64	125
136	27	48	28	45	30	44	30	44
287	5	15	5	12	5	18	4	17
185	2	1	3	4	2	4	3	4
215	0	22	1	52	5	53	3	57
220	0	10	1	23	1	22	1	23
194	24	51	39	70	38	71	43	73
61	47	59	51	59	51	59	52	60
44	3	9	4	12	4	12	4	13
50	7	15	8	17	8	17	8	17
82	1	7	1	6	2	6	3	6
234	0	22	0	28	0	31	0	32
98	35	52	39	52	39	53	39	53
268	13	47	16	63	16	63	16	69
243	103	140	107	144	110	143	115	151
149	44	61	43	56	44	56	43	57
216	60	91	64	97	65	102	68	103
276	38	78	50	96	52	97	53	102
211	0	5	1	5	1	5	2	5
163	0	2	3	15	3	16	4	15
75	37	45	38	47	39	46	39	47
